id;celda;fecha_hora;pot_activa;pot_reactiva
460165283;SM03;14/03/2025 10:15;0;0
460165308;SM03;14/03/2025 17:15;0;0
460167334;SM04;14/03/2025 10:15;0;0
459274965;SM03;10/03/2025 02:15;0;0
459275006;SM03;10/03/2025 12:30;0;0
459277078;SM04;10/03/2025 02:30;0;0
458826495;SM04;11/03/2025 10:45;0;0
458826500;SM04;11/03/2025 12:00;0;0
458826459;SM04;11/03/2025 01:45;0;0
457832596;SM04;7/03/2025 03:30;-0.018;0.003
457832644;SM04;7/03/2025 15:30;-0.012;0.006
457832624;SM04;7/03/2025 10:30;-0.012;0.006
457832633;SM04;7/03/2025 12:45;-0.009;0.007
439678896;SM03;18/02/2025 07:45;0;0
439678918;SM03;18/02/2025 13:15;0;0
439678982;SM04;18/02/2025 05:15;0;0
440117523;SM03;19/02/2025 08:30;0;0
438801617;SM03;16/02/2025 00:00;0;0
438801643;SM03;16/02/2025 06:30;0;0
438801646;SM03;16/02/2025 07:15;0;0
438801670;SM03;16/02/2025 13:15;0;0
438801676;SM03;16/02/2025 14:45;0;0
438801703;SM03;16/02/2025 21:30;0;0
438801782;SM04;16/02/2025 17:15;0;0
438801784;SM04;16/02/2025 17:45;0;0
439240305;SM03;17/02/2025 16:00;0;0
439240350;SM04;17/02/2025 03:15;0;0
439240376;SM04;17/02/2025 09:45;0;0
439240381;SM04;17/02/2025 11:00;0;0
437928346;SM03;14/02/2025 10:30;0;0
437928429;SM04;14/02/2025 07:45;0;0
438363059;SM03;15/02/2025 16:30;0;0
438363079;SM03;15/02/2025 21:30;0;0
437056614;SM03;12/02/2025 06:45;0;0
437056641;SM03;12/02/2025 13:30;0;0
437056688;SM04;12/02/2025 01:15;0;0
437056703;SM04;12/02/2025 05:00;0;0
437056713;SM04;12/02/2025 07:30;0;0
437928487;SM04;14/02/2025 22:45;0;0
438363040;SM03;15/02/2025 11:45;0;0
438363042;SM03;15/02/2025 12:15;0;0
438363119;SM04;15/02/2025 07:30;0;0
437056629;SM03;12/02/2025 10:30;0;0
437056636;SM03;12/02/2025 12:15;0;0
437056680;SM03;12/02/2025 23:15;0;0
437056700;SM04;12/02/2025 04:15;0;0
437056772;SM04;12/02/2025 22:15;0;0
437495104;SM03;13/02/2025 00:45;0;0
437495246;SM04;13/02/2025 12:15;0;0
436179642;SM03;10/02/2025 23:45;0;0
436618153;SM03;11/02/2025 19:30;0;0
436618138;SM03;11/02/2025 15:45;0;0
436618160;SM03;11/02/2025 21:15;0;0
435302300;SM03;8/02/2025 00:15;0;0
435302461;SM04;8/02/2025 16:30;0;0
435741006;SM03;9/02/2025 20:45;0;0
435741039;SM04;9/02/2025 05:00;0;0
435741049;SM04;9/02/2025 07:30;0;0
435741050;SM04;9/02/2025 07:45;0;0
435741061;SM04;9/02/2025 10:30;0;0
434649812;SM03;6/02/2025 06:15;0;0
434649817;SM03;6/02/2025 07:30;0;0
434649834;SM03;6/02/2025 11:45;0;0
434649843;SM03;6/02/2025 14:00;0;0
434649900;SM04;6/02/2025 04:15;0;0
434649925;SM04;6/02/2025 10:30;0;0
434649944;SM04;6/02/2025 15:15;0;0
433333925;SM03;3/02/2025 02:00;0;0
433333941;SM03;3/02/2025 06:00;0;0
433333942;SM03;3/02/2025 06:15;0;0
433334003;SM03;3/02/2025 21:30;0;0
694071571;SM03;5/10/2025 07:30;2.622;-0.365
694071690;SM04;5/10/2025 13:15;-1.563;0.258
694071708;SM04;5/10/2025 17:45;-1.509;0.176
694071715;SM04;5/10/2025 19:30;-0.735;0.273
694071729;SM04;5/10/2025 23:00;-1.572;0.2
479241738;SM04;3/05/2025 06:00;-1.655;0.316
479241750;SM04;3/05/2025 09:00;-1.623;0.385
479586836;SM03;4/05/2025 20:00;4.984;0.389
479588919;SM04;4/05/2025 12:45;-1.45;0.477
479588922;SM04;4/05/2025 13:30;-1.419;0.493
479586782;SM03;4/05/2025 06:30;2.472;-0.065
479586832;SM03;4/05/2025 19:00;4.89;0.384
479588905;SM04;4/05/2025 09:15;-1.66;0.347
479937352;SM03;5/05/2025 13:30;3.862;0.502
479939481;SM04;5/05/2025 17:45;-1.437;0.303
479937390;SM03;5/05/2025 23:00;3.94;0.54
661269604;SM04;25/09/2025 02:45;-1.953;0.059
661269616;SM04;25/09/2025 05:45;-1.836;0.101
661266485;SM03;25/09/2025 15:00;3.727;0.24
664539897;SM03;26/09/2025 08:30;3.582;0.456
664539936;SM03;26/09/2025 18:15;4.682;0.468
664539940;SM03;26/09/2025 19:15;5.184;0.589
654734922;SM04;23/09/2025 16:30;-1.566;0.242
654734763;SM03;23/09/2025 00:45;2.939;-0.059
658002378;SM04;24/09/2025 17:00;-1.627;0.242
651472381;SM03;22/09/2025 12:15;4.015;0.464
644944088;SM03;20/09/2025 13:15;3.965;0.461
648208189;SM03;21/09/2025 16:45;3.333;0.008
648208190;SM03;21/09/2025 17:00;3.36;0.05
648208285;SM04;21/09/2025 16:45;-1.589;0.182
648208303;SM04;21/09/2025 21:15;-0.986;0.243
618881894;SM03;12/09/2025 20:30;5.061;0.207
618881899;SM03;12/09/2025 21:45;4.627;0.174
622134672;SM03;13/09/2025 01:15;2.822;-0.169
622141082;SM04;13/09/2025 08:00;-1.754;0.087
622141144;SM04;13/09/2025 23:30;-1.487;0.03
605866565;SM04;8/09/2025 20:15;-0.783;-0.022
605866404;SM03;8/09/2025 04:00;1.657;-0.601
